ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen,date
23,2021-07-29T02:05:00Z,14.376,blue.ruin,0.787602523659306,2.83680126182965,2021-07-29
30,2021-07-29T02:05:00Z,14.542,blue.ruin,0.771892744479495,2.87421909951248,2021-07-29
6,2021-07-29T02:10:00Z,14.875,norwood,0.809629331184529,2.69219863013699,2021-07-29
11,2021-07-29T02:10:00Z,15.037,blue.ruin,0.722963586613344,2.99599184860604,2021-07-29
14,2021-07-29T02:10:00Z,15.13,norwood,0.789081385979049,2.89538356164384,2021-07-29
18,2021-07-29T02:10:00Z,14.121,norwood,0.931089743589744,2.28732371794872,2021-07-29
22,2021-07-29T02:10:00Z,14.236,blue.ruin,0.798831824878973,2.82356403436597,2021-07-29
31,2021-07-29T02:10:00Z,14.862,blue.ruin,0.739539044411703,2.95832035360977,2021-07-29
7,2021-07-29T02:15:00Z,14.205,blue.ruin,0.79901566469094,2.79687206527596,2021-07-29
10,2021-07-29T02:15:00Z,12.477,blue.ruin,1.00349127182045,2.49135162094763,2021-07-29
13,2021-07-29T02:15:00Z,15.731,norwood,0.740733840920136,3.35107991792213,2021-07-29
16,2021-07-29T02:15:00Z,13.651,norwood,1.09008704061896,2.25138926499033,2021-07-29
17,2021-07-29T02:15:00Z,16.322,blue.ruin,0.597353937341236,3.27352705719344,2021-07-29
21,2021-07-29T02:15:00Z,15.84,blue.ruin,0.643268416596105,3.16500192440921,2021-07-29
30,2021-07-29T02:15:00Z,14.041,blue.ruin,0.814638018628281,2.75994650142406,2021-07-29
5,2021-07-29T02:20:00Z,14.062,blue.ruin,0.810614406779661,2.72637403697997,2021-07-29
8,2021-07-29T02:20:00Z,15.532,blue.ruin,0.670466101694915,3.01431510015408,2021-07-29
15,2021-07-29T02:20:00Z,12.71,blue.ruin,0.939512711864407,2.46154661016949,2021-07-29
18,2021-07-29T02:20:00Z,14.246,norwood,0.906422018348624,2.22757110091743,2021-07-29
22,2021-07-29T02:20:00Z,14.298,blue.ruin,0.788114406779661,2.77260130970724,2021-07-29
23,2021-07-29T02:20:00Z,14,blue.ruin,0.816525423728814,2.71422958397535,2021-07-29
31,2021-07-29T02:20:00Z,14.924,blue.ruin,0.72843220338983,2.89522110939908,2021-07-29
7,2021-07-29T02:25:00Z,13.955,blue.ruin,0.820220349967596,2.71124374005774,2021-07-29
11,2021-07-29T02:25:00Z,14.849,blue.ruin,0.733311730395334,2.86609909856831,2021-07-29
13,2021-07-29T02:25:00Z,15.293,norwood,0.770587762967721,2.94975469728601,2021-07-29
14,2021-07-29T02:25:00Z,15.506,norwood,0.753484824152883,3.11984342379958,2021-07-29
21,2021-07-29T02:25:00Z,16.279,blue.ruin,0.594296824368114,3.11379838567136,2021-07-29
5,2021-07-29T02:30:00Z,14.125,blue.ruin,0.802161100196464,2.84943739953563,2021-07-29
8,2021-07-29T02:30:00Z,15.72,blue.ruin,0.645481335952849,3.21977138774781,2021-07-29
10,2021-07-29T02:30:00Z,12.477,blue.ruin,1.00349127182045,2.54600249376559,2021-07-29
15,2021-07-29T02:30:00Z,12.584,blue.ruin,0.963466334164588,2.51158104738155,2021-07-29
16,2021-07-29T02:30:00Z,13.902,norwood,0.960674157303371,2.06049531835206,2021-07-29
17,2021-07-29T02:30:00Z,16.948,blue.ruin,0.524852652259332,3.5048937310234,2021-07-29
23,2021-07-29T02:30:00Z,14.501,blue.ruin,0.765225933202358,2.93673870333988,2021-07-29
30,2021-07-29T02:30:00Z,14.292,blue.ruin,0.785756385068762,2.88821218074656,2021-07-29
6,2021-07-29T02:35:00Z,14,norwood,0.953047775947282,2.07034060955519,2021-07-29
11,2021-07-29T02:35:00Z,14.974,blue.ruin,0.716593838759012,3.02046854827497,2021-07-29
14,2021-07-29T02:35:00Z,15.38,norwood,0.770636228778638,2.88063771221362,2021-07-29
18,2021-07-29T02:35:00Z,14.371,norwood,0.861367380560132,2.08516227347611,2021-07-29
21,2021-07-29T02:35:00Z,15.84,blue.ruin,0.631450731920472,3.21397560927165,2021-07-29
22,2021-07-29T02:35:00Z,14.361,blue.ruin,0.776862573738256,2.88349415059487,2021-07-29
31,2021-07-29T02:35:00Z,14.799,blue.ruin,0.73379943194232,2.98136492740382,2021-07-29
5,2021-07-29T02:40:00Z,14.062,blue.ruin,0.80416575552154,2.7900021867483,2021-07-29
7,2021-07-29T02:40:00Z,13.955,blue.ruin,0.814694948611415,2.7647321233326,2021-07-29
