date.time,tag.id,receiver.site,antenna.number,temp.sd,temp.strong,lat,long,strength,gap,temp.diff,mainstem.temp,foray
8/7/2021 8:20,11,2,1,NA,14,44.23122,-123.1629,75,10,0,18.842,0
8/7/2021 16:10,11,1,1,0.461880215,24.4,44.2333796,-123.1625399,88,470,10.4,20.293,1
8/7/2021 18:40,11,1,1,NA,21.2,44.2333796,-123.1625399,75,150,-3.2,19.888,0
8/7/2021 18:50,11,1,1,0.648941863,21.2,44.2333796,-123.1625399,113,10,0,19.96,0
8/7/2021 20:10,11,2,1,NA,14,44.23122,-123.1629,79,80,-7.2,20.341,0
8/7/2021 20:30,11,2,1,NA,14,44.23122,-123.1629,75,20,0,20.317,0
8/8/2021 7:30,11,1,1,NA,13.2,44.2333796,-123.1625399,76,60,-0.8,19.056,0
8/8/2021 7:40,11,1,1,NA,13.2,44.2333796,-123.1625399,80,10,0,19.032,0
8/8/2021 20:40,11,2,1,NA,18.8,44.23122,-123.1629,74,780,5.6,19.984,1
8/8/2021 21:10,11,1,1,0.461880215,15.6,44.2333796,-123.1625399,79,30,-3.2,19.888,0
8/9/2021 9:20,11,1,1,0.50730119,14,44.2333796,-123.1625399,95,220,-1.6,17.653,0
8/9/2021 20:50,11,1,1,0,16.4,44.2333796,-123.1625399,100,690,2.4,19.746,1
8/9/2021 21:10,11,1,1,NA,15.6,44.2333796,-123.1625399,81,20,-0.8,19.651,0
8/10/2021 3:10,11,1,1,0.653197265,14,44.2333796,-123.1625399,75,60,-1.6,19.032,0
8/10/2021 4:30,11,1,1,NA,14.8,44.2333796,-123.1625399,74,80,0.8,18.675,0
8/10/2021 4:50,11,1,1,NA,14,44.2333796,-123.1625399,75,20,-0.8,18.557,0
8/10/2021 5:50,11,1,1,NA,14,44.2333796,-123.1625399,84,60,0,18.461,0
8/10/2021 6:20,11,1,1,NA,13.2,44.2333796,-123.1625399,75,30,-0.8,18.438,0
