date.time,tag.id,receiver.site,antenna.number,temp.sd,temp.strong,lat,long,strength,logger.site,fish.depth,fish.do
7/30/2021 23:30,11,3,1,0,19.6,44.23065,-123.16275,67,site.3,0.062695109,6.78
7/30/2021 23:50,11,1,1,0,22,44.2333796,-123.1625399,81,site.0.mouth,mouth.mixed,NA
7/31/2021 0:00,11,1,1,4.888080741,13.2,44.2333796,-123.1625399,88,site.0.mouth,mouth.mixed,NA
7/31/2021 0:10,11,4,1,NA,19.6,44.2303277,-123.1622552,101,site.4.netpen,0.032396088,7.09
7/31/2021 0:30,11,1,1,0.461880215,13.2,44.2333796,-123.1625399,73,site.0.mouth,mouth.mixed,NA
7/31/2021 2:00,11,1,1,NA,13.2,44.2333796,-123.1625399,59,site.0.mouth,mouth.mixed,NA
7/31/2021 2:10,11,4,1,4.5254834,18.8,44.2303277,-123.1622552,45,site.4.netpen,0.063172894,4.17
7/31/2021 2:20,11,4,1,2.616868357,13.2,44.2303277,-123.1622552,129,site.4.netpen,0.864126135,2.920298547
7/31/2021 2:30,11,4,1,4.5254834,16.4,44.2303277,-123.1622552,121,site.4.netpen,0.514516129,4.433686636
7/31/2021 3:00,11,1,1,NA,13.2,44.2333796,-123.1625399,79,site.0.mouth,mouth.mixed,NA
7/31/2021 3:20,11,1,2,NA,13.2,44.2333796,-123.1625399,73,site.1,0.798351254,6.664301075
7/31/2021 4:30,11,1,1,NA,11.6,44.2333796,-123.1625399,61,site.0.mouth,mouth.mixed,NA
7/31/2021 4:40,11,4,1,2.722743714,16.4,44.2303277,-123.1622552,132,site.4.netpen,0.458507089,4.114905278
7/31/2021 5:00,11,1,1,NA,13.2,44.2333796,-123.1625399,84,site.0.mouth,mouth.mixed,NA
7/31/2021 5:10,11,4,1,4.930372342,22.8,44.2303277,-123.1622552,134,site.4.netpen,0,3.25
7/31/2021 6:00,11,1,1,NA,12.4,44.2333796,-123.1625399,37,site.0.mouth,mouth.mixed,NA
7/31/2021 6:30,11,1,1,NA,13.2,44.2333796,-123.1625399,85,site.0.mouth,mouth.mixed,NA
7/31/2021 7:10,11,4,1,4.574713106,10.8,44.2303277,-123.1622552,56,site.4.netpen,1.55,2.28
7/31/2021 8:20,11,1,1,NA,12.4,44.2333796,-123.1625399,59,site.0.mouth,mouth.mixed,NA
7/31/2021 8:50,11,1,1,NA,12.4,44.2333796,-123.1625399,80,site.0.mouth,mouth.mixed,NA
7/31/2021 9:30,11,2,1,NA,13.2,44.23122,-123.1629,77,site.2,0.95584818,4.588481201
7/31/2021 19:00,11,1,1,NA,13.2,44.2333796,-123.1625399,74,site.0.mouth,mouth.mixed,NA
7/31/2021 19:40,11,4,1,NA,22,44.2303277,-123.1622552,111,site.4.netpen,0.138663968,9.22
7/31/2021 21:00,11,1,1,1.13137085,14,44.2333796,-123.1625399,82,site.0.mouth,mouth.mixed,NA
7/31/2021 21:10,11,1,1,0.221880078,13.2,44.2333796,-123.1625399,82,site.0.mouth,mouth.mixed,NA
7/31/2021 21:20,11,1,1,NA,13.2,44.2333796,-123.1625399,56,site.0.mouth,mouth.mixed,NA
7/31/2021 21:30,11,1,1,NA,13.2,44.2333796,-123.1625399,28,site.0.mouth,mouth.mixed,NA
7/31/2021 21:40,11,1,1,NA,12.4,44.2333796,-123.1625399,33,site.0.mouth,mouth.mixed,NA
7/31/2021 21:50,11,1,1,NA,13.2,44.2333796,-123.1625399,80,site.0.mouth,mouth.mixed,NA
7/31/2021 22:00,11,1,1,2.013289183,14,44.2333796,-123.1625399,88,site.0.mouth,mouth.mixed,NA
7/31/2021 22:10,11,1,1,NA,14,44.2333796,-123.1625399,82,site.0.mouth,mouth.mixed,NA
7/31/2021 22:20,11,1,2,NA,14,44.2333796,-123.1625399,75,site.1,0.3,4.445
7/31/2021 22:30,11,1,1,NA,16.4,44.2333796,-123.1625399,80,site.0.mouth,mouth.mixed,NA
7/31/2021 22:40,11,1,1,NA,13.2,44.2333796,-123.1625399,72,site.0.mouth,mouth.mixed,NA
7/31/2021 22:50,11,1,2,NA,14.8,44.2333796,-123.1625399,78,site.1,0.3,4.586
7/31/2021 23:00,11,1,1,3.346640106,14,44.2333796,-123.1625399,77,site.0.mouth,mouth.mixed,NA
7/31/2021 23:10,11,4,1,1.6,14.8,44.2303277,-123.1622552,129,site.4.netpen,0.799871023,3.590825451
7/31/2021 23:20,11,1,2,NA,12.4,44.2333796,-123.1625399,75,site.1,2.239238927,3.302965689
8/1/2021 0:30,11,1,1,0.565685425,14,44.2333796,-123.1625399,86,site.0.mouth,mouth.mixed,NA
8/1/2021 0:40,11,1,2,NA,12.4,44.2333796,-123.1625399,31,site.1,2.290257481,3.2671865
8/1/2021 0:50,11,1,2,NA,13.2,44.2333796,-123.1625399,73,site.1,1.066738973,4.64184671
8/1/2021 1:10,11,1,1,0,13.2,44.2333796,-123.1625399,83,site.0.mouth,mouth.mixed,NA
8/1/2021 1:40,11,1,1,0.923760431,14.8,44.2333796,-123.1625399,83,site.0.mouth,mouth.mixed,NA
8/1/2021 2:40,11,1,2,NA,15.6,44.2333796,-123.1625399,74,site.1,0.3,7.079
8/1/2021 3:00,11,1,1,NA,14,44.2333796,-123.1625399,78,site.0.mouth,mouth.mixed,NA
8/1/2021 3:10,11,1,1,NA,17.2,44.2333796,-123.1625399,76,site.0.mouth,mouth.mixed,NA
8/1/2021 3:40,11,1,1,NA,14.8,44.2333796,-123.1625399,83,site.0.mouth,mouth.mixed,NA
8/1/2021 4:00,11,1,1,NA,14.8,44.2333796,-123.1625399,75,site.0.mouth,mouth.mixed,NA
8/1/2021 5:00,11,1,1,NA,13.2,44.2333796,-123.1625399,73,site.0.mouth,mouth.mixed,NA
8/1/2021 5:20,11,1,1,NA,14,44.2333796,-123.1625399,86,site.0.mouth,mouth.mixed,NA
8/1/2021 7:00,11,1,1,NA,10.8,44.2333796,-123.1625399,73,site.0.mouth,mouth.mixed,NA
8/1/2021 7:50,11,1,1,NA,18,44.2333796,-123.1625399,73,site.0.mouth,mouth.mixed,NA
8/1/2021 8:00,11,1,1,0,12.4,44.2333796,-123.1625399,83,site.0.mouth,mouth.mixed,NA
8/1/2021 8:10,11,1,1,2.68923781,17.2,44.2333796,-123.1625399,88,site.0.mouth,mouth.mixed,NA
8/1/2021 8:20,11,1,1,NA,14,44.2333796,-123.1625399,90,site.0.mouth,mouth.mixed,NA
8/1/2021 10:10,11,4,1,NA,19.6,44.2303277,-123.1622552,64,site.4.netpen,0.061659193,6.51
8/1/2021 10:20,11,3,1,0.706972081,19.6,44.23065,-123.16275,109,site.3,0,6.71
8/1/2021 10:30,11,4,1,0.361813613,15.6,44.2303277,-123.1622552,62,site.4.netpen,0.746835443,6.357414105
8/1/2021 10:40,11,4,1,0.823885841,14.8,44.2303277,-123.1622552,63,site.4.netpen,0.76504065,6.593617886
8/1/2021 15:40,11,2,1,0.931600122,13.2,44.23122,-123.1629,95,site.2,2.097435897,11.17800789
8/1/2021 16:40,11,1,1,0.552052447,13.2,44.2333796,-123.1625399,78,site.0.mouth,mouth.mixed,NA
8/1/2021 16:50,11,1,1,NA,14,44.2333796,-123.1625399,75,site.0.mouth,mouth.mixed,NA
8/1/2021 18:30,11,1,1,0.414039336,13.2,44.2333796,-123.1625399,90,site.0.mouth,mouth.mixed,NA
8/1/2021 20:50,11,1,1,NA,14.8,44.2333796,-123.1625399,74,site.0.mouth,mouth.mixed,NA
8/1/2021 21:20,11,1,1,0.8,14.8,44.2333796,-123.1625399,76,site.0.mouth,mouth.mixed,NA
8/1/2021 21:30,11,1,1,NA,14.8,44.2333796,-123.1625399,38,site.0.mouth,mouth.mixed,NA
8/1/2021 21:50,11,1,1,0,14.8,44.2333796,-123.1625399,79,site.0.mouth,mouth.mixed,NA
8/1/2021 22:00,11,1,2,1.514375559,16.4,44.2333796,-123.1625399,77,site.1,0.3,5.088
8/1/2021 22:10,11,1,2,NA,14,44.2333796,-123.1625399,76,site.1,1.648144248,4.273809687
8/1/2021 22:20,11,1,1,2.2627417,15.6,44.2333796,-123.1625399,82,site.0.mouth,mouth.mixed,NA
8/1/2021 22:30,11,1,1,NA,14.8,44.2333796,-123.1625399,74,site.0.mouth,mouth.mixed,NA
8/1/2021 22:50,11,1,1,1.13137085,12.4,44.2333796,-123.1625399,76,site.0.mouth,mouth.mixed,NA
8/1/2021 23:00,11,1,1,NA,11.6,44.2333796,-123.1625399,32,site.0.mouth,mouth.mixed,NA
8/2/2021 0:00,11,1,1,0.8,14.8,44.2333796,-123.1625399,76,site.0.mouth,mouth.mixed,NA
8/2/2021 0:20,11,1,1,0.565685425,14.8,44.2333796,-123.1625399,77,site.0.mouth,mouth.mixed,NA
8/2/2021 1:10,11,1,1,NA,13.2,44.2333796,-123.1625399,78,site.0.mouth,mouth.mixed,NA
8/2/2021 1:20,11,1,1,NA,14,44.2333796,-123.1625399,76,site.0.mouth,mouth.mixed,NA
8/2/2021 2:30,11,1,1,0.565685425,14.8,44.2333796,-123.1625399,79,site.0.mouth,mouth.mixed,NA
8/2/2021 2:40,11,1,1,2.2627417,14,44.2333796,-123.1625399,81,site.0.mouth,mouth.mixed,NA
8/2/2021 2:50,11,4,1,4.985693819,11.6,44.2303277,-123.1622552,134,site.4.netpen,1.55,2.53
8/2/2021 3:00,11,4,1,0.565685425,15.6,44.2303277,-123.1622552,51,site.4.netpen,0.875974026,2.65619666
8/2/2021 3:10,11,4,1,4.50523505,11.6,44.2303277,-123.1622552,134,site.4.netpen,1.55,2.46
8/2/2021 3:30,11,1,1,NA,13.2,44.2333796,-123.1625399,75,site.0.mouth,mouth.mixed,NA
8/2/2021 3:50,11,1,1,NA,14,44.2333796,-123.1625399,68,site.0.mouth,mouth.mixed,NA
8/2/2021 4:00,11,4,1,NA,22,44.2303277,-123.1622552,112,site.4.netpen,0,6.56
8/2/2021 5:40,11,1,1,NA,10,44.2333796,-123.1625399,78,site.0.mouth,mouth.mixed,NA
8/2/2021 6:00,11,1,1,NA,13.2,44.2333796,-123.1625399,69,site.0.mouth,mouth.mixed,NA
8/2/2021 7:00,11,4,1,0.282842712,24.4,44.2303277,-123.1622552,68,site.4.netpen,0,6.21
8/2/2021 8:00,11,1,1,NA,14.8,44.2333796,-123.1625399,80,site.0.mouth,mouth.mixed,NA
8/2/2021 8:30,11,1,1,5.6,13.2,44.2333796,-123.1625399,81,site.0.mouth,mouth.mixed,NA
8/2/2021 11:00,11,1,1,NA,13.2,44.2333796,-123.1625399,75,site.0.mouth,mouth.mixed,NA
